id,name,country,isBowler,isBatsman,runsScoredPerBall,dismissedPerBall,wicketsPerBall,runsConcededPerBall
1,A Balbirnie,Ireland,0,1,0.7597,0.0212,,
2,AD Mathews,Sri Lanka,0,1,0.7337,0.017,0.0345,0.6828
3,AJ Finch,Australia,0,1,0.8293,0.0219,0.0159,1.0
4,AK Markram,South Africa,0,1,0.8868,0.0283,0.018,0.9378
5,AL Phehlukwayo,South Africa,1,1,0.8024,0.0404,0.0287,0.8658
6,AR McBrine,Ireland,1,1,0.6493,0.0304,0.0199,0.708
7,AT Carey,Australia,0,1,0.86,0.0226,,
8,AT Rayudu,India,0,1,0.855,0.0204,,1.0
9,Afif Hossain,Bangladesh,0,1,0.7823,0.0242,0.0545,1.0545
10,Asghar Stanikzai,Afghanistan,0,1,0.7437,0.0273,,0.2
11,BA King,West Indies,0,1,0.7745,0.0407,,
12,BA Stokes,England,1,1,0.866,0.0217,0.0178,0.9216
13,BKG Mendis,Sri Lanka,0,1,0.7991,0.0287,,
14,BRM Taylor,Zimbabwe,0,1,0.8328,0.0208,,
15,Babar Azam,Pakistan,0,1,0.848,0.0151,,
16,C Campher,Ireland,1,1,0.8326,0.0213,0.0253,0.9578
17,C Munro,New Zealand,0,1,1.0169,0.0491,0.0151,0.7884
18,C de Grandhomme,New Zealand,1,1,1.1127,0.048,0.0168,0.7385
19,CH Gayle,West Indies,0,1,0.9751,0.0238,0.016,0.8396
20,CR Ervine,Zimbabwe,0,1,0.7133,0.0202,,
21,CR Woakes,England,1,1,0.9209,0.0336,0.0294,0.8262
22,CS MacLeod,Scotland,0,1,0.8455,0.0209,,1.0968
23,DA Miller,South Africa,0,1,1.0225,0.0225,,
24,DA Warner,Australia,0,1,0.9069,0.0219,,
25,DJ Malan,England,0,1,0.8806,0.0146,,1.7778
26,DJ Mitchell,New Zealand,0,1,0.9193,0.0202,0.0393,0.8777
27,DM Bravo,West Indies,0,1,0.6848,0.0324,,
28,DM de Silva,Sri Lanka,1,1,0.7577,0.0284,0.0208,0.8092
29,DP Conway,New Zealand,0,1,0.8193,0.0178,,
30,E Lewis,West Indies,0,1,0.774,0.0199,,
31,EJG Morgan,England,0,1,0.9489,0.0227,,
32,F du Plessis,South Africa,0,1,0.8871,0.0146,,
33,FDM Karunaratne,Sri Lanka,0,1,0.7747,0.0212,,1.1667
34,FH Allen,New Zealand,0,1,0.8798,0.0386,,
35,Fakhar Zaman,Pakistan,0,1,0.8931,0.0206,0.0135,0.8378
36,GH Dockrell,Ireland,1,1,0.8688,0.0315,0.0209,0.8921
37,GJ Maxwell,Australia,0,1,1.1891,0.0349,0.0128,0.9164
38,Gulbadin Naib,Afghanistan,1,1,0.6552,0.0356,0.0239,0.8804
39,H Klaasen,South Africa,0,1,1.0898,0.0307,,1.0
40,HE van der Dussen,South Africa,0,1,0.8894,0.0155,0.1667,0.5
41,HH Pandya,India,1,1,1.0012,0.0365,0.0228,0.8588
42,HM Amla,South Africa,0,1,0.8303,0.0203,,
43,HM Nicholls,New Zealand,0,1,0.7954,0.0235,,
44,HT Tector,Ireland,0,1,0.8183,0.0178,0.0148,1.1407
45,Haris Sohail,Pakistan,0,1,0.8467,0.0186,0.0055,0.9006
46,Hashmatullah Shahidi,Afghanistan,0,1,0.6659,0.0201,,
47,Ibrahim Zadran,Afghanistan,0,1,0.8134,0.0163,,
48,Imad Wasim,Pakistan,0,1,1.0931,0.0221,0.0126,0.843
49,Imam-ul-Haq,Pakistan,0,1,0.7855,0.0184,,
50,Imrul Kayes,Bangladesh,0,1,0.8154,0.0154,,
51,Ishan Kishan,India,0,1,1.0148,0.0181,,
52,JC Buttler,England,0,1,1.1376,0.0317,,
53,JDS Neesham,New Zealand,1,1,1.0427,0.0291,0.0275,0.8873
54,JE Root,England,0,1,0.8421,0.018,0.0165,0.9525
55,JJ Roy,England,0,1,1.0176,0.0259,,
56,JM Bairstow,England,0,1,1.0236,0.0236,,
57,JN Malan,South Africa,0,1,0.8174,0.0183,,
58,JO Holder,West Indies,1,1,0.8292,0.04,0.0196,0.9011
59,KIC Asalanka,Sri Lanka,0,1,0.8329,0.0232,0.041,0.7131
60,KJ O'Brien,Ireland,0,1,0.8804,0.0382,0.0099,0.7593
61,KL Rahul,India,0,1,0.8623,0.0155,,
62,KM Jadhav,India,0,1,0.9049,0.0261,0.0165,0.8021
63,KR Mayers,West Indies,0,1,0.8379,0.0255,0.0182,0.897
64,KS Williamson,New Zealand,0,1,0.7283,0.0145,0.0201,0.6734
65,L Tucker,Ireland,0,1,0.7118,0.0417,,
66,LD Chandimal,Sri Lanka,0,1,0.6948,0.0296,,
67,LRPL Taylor,New Zealand,0,1,0.8571,0.0144,,
68,Liton Das,Bangladesh,0,1,0.8452,0.0287,,
69,M Labuschagne,Australia,0,1,0.8479,0.0191,0.0116,1.1744
70,MA Leask,Scotland,1,1,1.1622,0.027,0.0265,0.8651
71,MD Gunathilaka,Sri Lanka,0,1,0.8093,0.0218,0.0148,0.8667
72,MD Shanaka,Sri Lanka,1,1,0.8354,0.0398,0.0246,0.9343
73,MDKJ Perera,Sri Lanka,0,1,0.8968,0.0248,,
74,MG Bracewell,New Zealand,0,1,1.1521,0.0225,0.0185,0.8688
75,MG Erasmus,Namibia,0,1,0.6713,0.0185,0.0556,1.1667
76,MJ Guptill,New Zealand,0,1,0.8128,0.0262,,
77,MJ Santner,New Zealand,1,1,0.8782,0.0321,0.0187,0.7665
78,MM Ali,England,1,1,0.7869,0.0484,0.0183,0.9072
79,MP O'Dowd,Netherlands,0,1,0.7517,0.0172,,0.6842
80,MP Stoinis,Australia,1,1,0.9208,0.0396,0.0238,0.9365
81,MR Marsh,Australia,0,1,0.8797,0.0279,0.0228,0.8
82,MS Dhoni,India,0,1,0.7463,0.0188,,
83,Mahmudullah,Bangladesh,0,1,0.7292,0.0186,0.0185,0.9241
